"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2654137,"July 16, 2023",Illinois,Chicago,"4000 block of W Washington Blvd",1,4,0,0,3,N/A
2654540,"July 16, 2023",California,"Los Angeles","2000 block of E 115th St",1,4,0,0,0,N/A
2654280,"July 16, 2023",Texas,Dallas,"Al Lipscomb Way and Meadow St",1,4,0,0,1,N/A
2653407,"July 15, 2023",Pennsylvania,"Homestead (Munhall)","1129 Ravine St",1,3,0,0,0,N/A
2655985,"July 15, 2023",Mississippi,Clarksdale,"400 block of Andrews St",0,4,0,0,0,N/A
2653609,"July 15, 2023",Georgia,Hampton,"92 Dogwood Lakes Dr",4,3,1,0,0,N/A
2654370,"July 15, 2023",Florida,"Fort Lauderdale","3170 NW 2nd St",1,3,0,0,0,N/A
2653963,"July 15, 2023",Tennessee,Memphis,"3400 block of Ridgemont Ave",1,4,0,0,0,N/A
2653974,"July 15, 2023",Louisiana,Shreveport,"400 Commerce St",1,6,0,0,1,N/A
2652749,"July 14, 2023",Maryland,Bladensburg,"4300 block of Bladensburg Rd",0,5,0,0,0,N/A
2653198,"July 14, 2023","North Dakota",Fargo,"901 25th St S",1,3,1,0,0,N/A
2651377,"July 13, 2023",Maryland,"Silver Spring","14324 Layhill Rd",0,4,0,0,0,N/A
2651632,"July 13, 2023",Texas,"El Paso","1160 Airway Blvd",2,4,0,0,2,N/A
2652321,"July 13, 2023",Illinois,"East Saint Louis","500 block of N 27th St",1,4,0,0,0,N/A
2654191,"July 12, 2023",Georgia,Lagrange,"Whitesville St and Bell St",0,4,0,0,0,N/A
2650004,"July 11, 2023","New York",Bronx,"25 E 193rd St",0,4,0,0,0,N/A
2650456,"July 11, 2023",Texas,Dallas,"8200 block of Willoughby Blvd",0,6,0,0,0,N/A
2648182,"July 9, 2023","North Carolina",Wadesboro,"1205 N Greene St",1,6,0,0,0,N/A
2648002,"July 9, 2023",Texas,Amarillo,"4515 S Georgia St",2,5,0,0,1,N/A
2648055,"July 9, 2023",Ohio,Cleveland,"W 6th St and Johnson Ct",0,9,0,0,2,N/A
